iter	Passed	Remaining
0	0	86
1	1	78
2	2	73
3	2	67
4	3	66
5	4	64
6	4	63
7	5	64
8	6	65
9	7	64
10	7	63
11	8	62
12	9	62
13	9	61
14	10	60
15	11	59
16	12	58
17	12	57
18	13	56
19	14	56
20	14	55
21	15	54
22	16	53
23	16	53
24	17	52
25	18	51
26	18	50
27	19	50
28	20	49
29	20	48
30	21	48
31	22	47
32	22	46
33	23	45
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	27	41
40	28	40
41	28	39
42	29	38
43	29	38
44	30	37
45	31	36
46	31	36
47	32	35
48	33	34
49	34	34
50	34	33
51	35	33
52	36	32
53	37	31
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	43	27
61	43	26
62	44	26
63	45	25
64	46	25
65	47	24
66	48	23
67	48	23
68	49	22
69	50	21
70	51	20
71	52	20
72	53	19
73	54	19
74	55	18
75	56	17
76	57	17
77	57	16
78	58	15
79	59	14
80	59	14
81	60	13
82	61	12
83	62	11
84	62	11
85	63	10
86	64	9
87	64	8
88	65	8
89	67	7
90	67	6
91	68	5
92	69	5
93	70	4
94	70	3
95	71	2
96	72	2
97	72	1
98	73	0
99	74	0
