iter	Passed	Remaining
0	136	136014
1	138	69297
2	140	46766
3	142	35475
4	144	28710
5	146	24249
6	148	21120
7	150	18701
8	152	16777
9	153	15221
10	155	13956
11	156	12895
12	157	11991
13	159	11214
14	161	10628
15	163	10071
16	165	9551
17	167	9124
18	168	8703
19	169	8322
20	171	7983
21	172	7672
22	174	7402
23	175	7154
24	177	6936
25	179	6713
26	180	6503
27	181	6307
28	182	6125
29	184	5955
30	185	5797
31	186	5647
32	188	5521
33	190	5416
34	192	5311
35	193	5193
36	195	5084
37	196	4977
38	197	4876
39	199	4779
40	200	4693
41	202	4614
42	204	4554
43	206	4489
44	208	4416
45	209	4343
46	210	4273
47	212	4204
48	213	4139
49	214	4081
50	216	4024
51	218	3975
52	220	3935
53	221	3882
54	223	3832
55	224	3781
56	225	3735
57	227	3688
58	228	3645
59	229	3601
60	231	3562
61	232	3521
62	234	3489
63	236	3455
64	237	3420
65	239	3386
66	240	3355
67	242	3323
68	244	3292
69	246	3268
70	248	3247
71	250	3223
72	251	3192
73	252	3161
74	253	3130
75	255	3101
76	256	3072
77	257	3044
78	258	3016
79	260	2990
80	261	2969
81	263	2952
82	264	2923
83	265	2899
84	267	2876
85	268	2853
86	269	2830
87	270	2808
88	272	2786
89	273	2764
90	275	2748
91	276	2731
92	278	2717
93	279	2697
94	281	2677
95	282	2658
96	283	2639
97	284	2620
98	285	2602
99	287	2584
100	288	2567
101	290	2554
102	291	2542
103	293	2528
104	294	2512
105	296	2497
106	297	2482
107	298	2466
108	299	2452
109	301	2437
110	302	2422
111	303	2408
112	305	2396
113	307	2388
114	309	2378
115	310	2364
116	311	2349
117	312	2336
118	313	2323
119	315	2310
120	316	2297
121	317	2284
122	318	2273
123	320	2265
124	322	2255
125	323	2245
126	324	2233
127	326	2223
128	328	2214
129	329	2205
130	331	2196
131	332	2189
132	334	2183
133	337	2178
134	338	2171
135	340	2163
136	341	2153
137	343	2143
138	344	2133
139	345	2123
140	346	2113
141	347	2101
142	349	2095
143	351	2089
144	353	2082
145	354	2073
146	355	2064
147	357	2055
148	358	2046
149	359	2037
150	361	2030
151	362	2021
152	364	2016
153	366	2012
154	368	2006
155	369	1998
156	371	1992
157	372	1985
158	373	1977
159	375	1969
160	376	1960
161	378	1956
162	380	1952
163	382	1949
164	384	1943
165	385	1937
166	387	1931
167	388	1925
168	390	1918
169	391	1912
170	394	1910
171	395	1906
172	397	1902
173	399	1896
174	401	1891
175	403	1886
176	404	1881
177	405	1874
178	407	1870
179	409	1867
180	411	1864
181	413	1860
182	415	1856
183	417	1852
184	419	1848
185	421	1844
186	424	1844
187	426	1840
188	427	1836
189	429	1831
190	431	1826
191	432	1821
192	434	1816
193	436	1812
194	438	1809
195	440	1805
196	442	1801
197	443	1797
198	445	1793
199	447	1789
200	449	1785
201	450	1780
202	452	1777
203	454	1773
204	455	1768
205	457	1761
206	458	1754
207	459	1748
208	460	1741
209	461	1734
210	462	1728
211	463	1721
212	464	1715
213	465	1711
